date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:26	121745/121745	---M--	200	added ('OK')	image/jpeg	etag:%225019ed5-1db91-43944023215f7%22	http://www.thaiall.com/assembly/ocomputer03.jpg	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/ocomputer03.jpg	(from http://www.thaiall.com/assembly/indexl.htm)
12:41:28	7146/7146	---M--	200	added ('OK')	image/jpeg	etag:%225019edb-1bea-43944043b9509%22	http://www.thaiall.com/assembly/ocomputer04t.jpg	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/ocomputer04t.jpg	(from http://www.thaiall.com/assembly/indexl.htm)
12:41:40	98792/98792	---M--	200	added ('OK')	image/jpeg	etag:%225019ed4-181e8-4394401873899%22	http://www.thaiall.com/assembly/ocomputer04.jpg	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/ocomputer04.jpg	(from http://www.thaiall.com/assembly/indexl.htm)
12:41:42	6344/6344	---M--	200	added ('OK')	image/jpeg	etag:%225019eda-18c8-4394404123613%22	http://www.thaiall.com/assembly/ocomputer05t.jpg	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/ocomputer05t.jpg	(from http://www.thaiall.com/assembly/indexl.htm)
12:41:44	96385/96385	---M--	200	added ('OK')	image/jpeg	etag:%225019ed3-17881-4394400f5e78b%22	http://www.thaiall.com/assembly/ocomputer05.jpg	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/ocomputer05.jpg	(from http://www.thaiall.com/assembly/indexl.htm)
12:41:45	4327/4327	---M--	200	added ('OK')	image/jpeg	etag:%225019ed9-10e7-4394403e9639b%22	http://www.thaiall.com/assembly/ocomputer06t.jpg	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/ocomputer06t.jpg	(from http://www.thaiall.com/assembly/indexl.htm)
12:41:56	83698/83698	---M--	200	added ('OK')	image/jpeg	etag:%225019ed2-146f2-439440067416b%22	http://www.thaiall.com/assembly/ocomputer06.jpg	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/ocomputer06.jpg	(from http://www.thaiall.com/assembly/indexl.htm)
12:41:57	5240/5240	---M--	200	added ('OK')	image/jpeg	etag:%225019ed8-1478-4394403c30d3a%22	http://www.thaiall.com/assembly/ocomputer07t.jpg	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/ocomputer07t.jpg	(from http://www.thaiall.com/assembly/indexl.htm)
12:41:59	5797/5797	---M--	200	added ('OK')	image/png	etag:%22880ad5-16a5-3e8982c6ac600%22	http://www.thaiall.com/assembly/batch.png	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/batch.png	(from http://www.thaiall.com/assembly/indexl.htm)
12:41:59	593/593	---M--	404	error ('Not%20Found')	text/html	etag:%22169bb0d-251-42355c0638c27%22	http://www.thaiall.com/download/winhex-e.zip	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/download/winhex-e.63.delayed	(from http://www.thaiall.com/assembly/indexl.htm)
12:42:00	92085/92085	---M--	200	added ('OK')	image/jpeg	etag:%225019ed1-167b5-43943ffe6b4f5%22	http://www.thaiall.com/assembly/ocomputer07.jpg	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/ocomputer07.jpg	(from http://www.thaiall.com/assembly/indexl.htm)
12:42:02	12454/12454	---M--	200	added ('OK')	image/jpeg	etag:%2261d7109-30a6-4175345d4bb6f%22	http://www.thaiall.com/assembly/defragment.jpg	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/defragment.jpg	(from http://www.thaiall.com/assembly/indexl.htm)
12:42:04	27021/27021	---M--	200	added ('OK')	image/gif	etag:%222108292-698d-417534603410d%22	http://www.thaiall.com/assembly/winhex.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/winhex.gif	(from http://www.thaiall.com/assembly/indexl.htm)
12:42:06	8934/8934	---M--	200	added ('OK')	image/jpeg	etag:%22281e59d-22e6-3facc46018b4b%22	http://www.thaiall.com/assembly/testpassword.jpg	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/testpassword.jpg	(from http://www.thaiall.com/assembly/indexl.htm)
12:42:10	45056/45056	---M--	200	added ('OK')	application/octet-stream	etag:%2225e1631-b000-3facbea26de57%22	http://www.thaiall.com/vb/testpassword.exe	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/vb/testpassword.exe	(from http://www.thaiall.com/assembly/indexl.htm)
12:42:11	29011/29011	---M--	200	added ('OK')	image/gif	etag:%22281e59b-7153-3facc308d8ac7%22	http://www.thaiall.com/assembly/testpassword.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/testpassword.gif	(from http://www.thaiall.com/assembly/indexl.htm)
12:42:11	7426/7426	---M--	200	added ('OK')	image/gif	etag:%22e2f333-1d02-44ef5e3709262%22	http://www.thaiall.com/assembly/register8086.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/register8086.gif	(from http://www.thaiall.com/assembly/indexl.htm)
12:42:13	7238/7238	---M--	200	added ('OK')	image/gif	etag:%22e2f332-1c46-44ef5e35209f9%22	http://www.thaiall.com/assembly/registerpentium.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/registerpentium.gif	(from http://www.thaiall.com/assembly/indexl.htm)
12:42:15	18432/18432	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%22e2f331-4800-44ef5e3308c85%22	http://www.thaiall.com/assembly/register.xls	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/register.xls	(from http://www.thaiall.com/assembly/indexl.htm)
12:42:23	941683/941683	---M--	200	added ('OK')	application/octet-stream	etag:%225fe1e2c-e5e73-43a8ba0c73aed%22	http://www.thaiall.com/assembly/emu8086v258.exe	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/emu8086v258.exe	(from http://www.thaiall.com/assembly/index.html)
12:43:07	360590/360590	---M--	200	added ('OK')	application/zip	etag:%222fbb0454-5808e-3972704d%22	http://www.cs.cmu.edu/~ralf/interrupt-list/inter61a.zip	C:/My%20Web%20Sites/Assembly2/www.cs.cmu.edu/_ralf/interrupt-list/inter61a.zip	(from http://www.thaiall.com/assembly/indexl.htm)
12:43:33	364118/364118	---M--	200	added ('OK')	application/zip	etag:%222fbb0560-58e56-3972707e%22	http://www.cs.cmu.edu/~ralf/interrupt-list/inter61b.zip	C:/My%20Web%20Sites/Assembly2/www.cs.cmu.edu/_ralf/interrupt-list/inter61b.zip	(from http://www.thaiall.com/assembly/indexl.htm)
12:43:34	517039/517039	---M--	200	added ('OK')	application/zip	etag:%222fbb07ae-7e3af-3972711f%22	http://www.cs.cmu.edu/~ralf/interrupt-list/inter61f.zip	C:/My%20Web%20Sites/Assembly2/www.cs.cmu.edu/_ralf/interrupt-list/inter61f.zip	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:19	272100/272100	---M--	200	added ('OK')	application/zip	etag:%222fbb0784-426e4-397270e0%22	http://www.cs.cmu.edu/~ralf/interrupt-list/inter61e.zip	C:/My%20Web%20Sites/Assembly2/www.cs.cmu.edu/_ralf/interrupt-list/inter61e.zip	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:33	515004/515004	---M--	200	added ('OK')	application/zip	etag:%222fbb0592-7dbbc-397270bf%22	http://www.cs.cmu.edu/~ralf/interrupt-list/inter61c.zip	C:/My%20Web%20Sites/Assembly2/www.cs.cmu.edu/_ralf/interrupt-list/inter61c.zip	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:34	67/67	---M--	200	added ('OK')	image/gif	etag:%22880acf-43-3e5a375fbd400%22	http://www.thaiall.com/assembly/ta3.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/ta3.gif	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:36	11111/11111	---M--	200	added ('OK')	image/gif	etag:%2228d7aee-2b67-4234b7b528fc2%22	http://www.thaiall.com/assembly/gates.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/gates.gif	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:37	106361/106361	---M--	200	added ('OK')	application/zip	etag:%222fbb0230-19f79-2ebcebca%22	http://www.cs.cmu.edu/~ralf/pub-files/dvint43.zip	C:/My%20Web%20Sites/Assembly2/www.cs.cmu.edu/_ralf/pub-files/dvint43.zip	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:38	2919/2919	---M--	200	added ('OK')	image/gif	etag:%22b9f127-b67-42381b7e9d154%22	http://www.thaiall.com/assembly/gateabc.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/gateabc.gif	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:39	16384/16384	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%22b9f126-4000-42381b792c542%22	http://www.thaiall.com/assembly/gateabc.xls	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/gateabc.xls	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:39	386/386	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2021%20Dec%202009%2005:32:00%20GMT	http://hits1.truehits.net/data/h0014200.js	C:/My%20Web%20Sites/Assembly2/hits1.truehits.net/data/h0014200.js	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:39	2952/2952	---M--	200	added ('OK')	image/gif	etag:%2228d7aed-b88-4234b7b354409%22	http://www.thaiall.com/assembly/karnaugh.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/karnaugh.gif	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:40	391/391	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2021%20Dec%202009%2005:32:00%20GMT	http://hits1.truehits.net/data/i0015336.js	C:/My%20Web%20Sites/Assembly2/hits1.truehits.net/data/i0015336.js	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:40	388/388	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2021%20Dec%202009%2005:32:00%20GMT	http://hits1.truehits.net/data/h0013970.js	C:/My%20Web%20Sites/Assembly2/hits1.truehits.net/data/h0013970.js	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:40	5386/5386	---M--	200	added ('OK')	image/gif	etag:%226a28d0-150a-3c8afeb9e8b00%22	http://www.thaiall.com/assembly/debug.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/debug.gif	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:41	593/593	---M--	404	error ('Not%20Found')	text/html	etag:%22169bb0d-251-42355c0638c27%22	http://www.thaiall.com/assembly/add_8bit.cpu	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/add_8bit.7c.delayed	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:42	5620/5620	---M--	200	added ('OK')	image/gif	etag:%22354bdd9-15f4-4359de807b622%22	http://www.thaiall.com/assembly/computer01.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/computer01.gif	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:42	3363/3363	---M--	200	added ('OK')	image/jpeg	etag:%226196a3a-d23-43848c646c0f5%22	http://www.thaiall.com/assembly/computer01t.jpg	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/computer01t.jpg	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:43	5171/5171	---M--	200	added ('OK')	image/gif	etag:%22354bdd8-1433-4359de7cd8854%22	http://www.thaiall.com/assembly/computer02.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/computer02.gif	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:43	3553/3553	---M--	200	added ('OK')	image/jpeg	etag:%226196a39-de1-43848c6287ae5%22	http://www.thaiall.com/assembly/computer02t.jpg	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/computer02t.jpg	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:44	3795/3795	---M--	200	added ('OK')	image/gif	etag:%22354bdd7-ed3-4359de79536f0%22	http://www.thaiall.com/assembly/computer03.gif	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/computer03.gif	(from http://www.thaiall.com/assembly/indexl.htm)
12:44:44	2844/2844	---M--	200	added ('OK')	image/jpeg	etag:%226196a38-b1c-43848c60a34d8%22	http://www.thaiall.com/assembly/computer03t.jpg	C:/My%20Web%20Sites/Assembly2/www.thaiall.com/assembly/computer03t.jpg	(from http://www.thaiall.com/assembly/indexl.htm)
